country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Kenya,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.13,0.15,0.15,0.13,0.13,0.13,0.13,0.16,0.17,0.19,0.2,0.2,0.46,0.22,0.25,0.27,0.32,0.17,0.26,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,,0.08,0.08,0.06,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.04,0.03,0.03,0.05,0.06,0.06
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.25,0.3,0.32,0.35,,0.35,0.35,0.35,0.35,0.2,0.2,0.2,0.2,0.2
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.25,0.24,0.1,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.05
Lebanon,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.07,0.07,0.06,0.06,0.06,0.09,0.1,0.13,0.12,0.12,0.12,0.2,0.22,0.22,0.22,0.22,0.22,0.18,0.16,0.2,0.16,0.19,0.25,0.3,0.3,0.25,0.2,0.2,0.2,0.2,0.2,0.12,0.12
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.12,0.12,0.12,0.15,0.12,0.1,0.09,0.16,0.17,0.16,0.18,0.15,0.14,0.14,0.16,0.17,0.16,0.2,0.19,0.15,0.13,0.16,0.15,0.13,0.13,0.11
Libya,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,0.03,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04
Madagascar,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.13,0.13,0.13,0.12,0.12,0.12,0.12,,,,,,,,,,,0.15,,,,,,,
Malawi,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.14,0.11,0.11,0.14,0.13,0.2,0.25,0.4,0.5,0.27,0.23,0.43,0.47,0.5,0.47,0.4,0.35,0.25,0.25,0.2
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.19,0.19,0.18,0.18,0.12
Mali,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.13,0.11,0.11,0.11,0.09,0.09,0.1,0.11,0.11,0.11,0.13,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Malta,,,,,,,,,,,,,,,,,,,,,,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.04
Mauritius,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.09,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.12,0.12,0.11,0.08,0.08,0.14,0.11,0.12,0.1,0.17,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,1.8,1.5,1.09,0.46,0.23,0.11,0.09,0.09,0.1,0.12,0.16,0.04,0.06
Morocco,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.07,0.08,0.09,0.09,0.09,,,,,,0.07,,,,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.58,0.32,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.11,0.13,0.15,0.15,0.15,0.12,0.1,0.1,0.1,0.1,0.1,0.1,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.17,0.15,0.16,0.18,0.18,0.16,0.19,0.12,0.11,0.09,0.13,0.08,0.08,0.07,0.09
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,0.15,0.15,0.11,0.11,0.11,0.11,0.11,0.13,0.13,0.11,0.11,0.11,0.11,0.09,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.06,0.06
Netherlands,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.05,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.04,0.08,0.07,0.05,0.06,0.05,0.07,0.1,0.08,0.09,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.07,0.07,0.09,0.08,0.05,,,,,,,,,,,,,
New Zealand,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.09,0.1,0.11,0.13,0.14,0.13,0.13,0.08,0.14,0.2,0.25,0.19,0.15,0.15,0.13,0.08,0.09,0.06,0.1,0.1,0.09,0.1,0.06,0.05,0.07,0.05,0.06,0.05,0.07,0.07,0.07
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,3.11,0.1,0.15,0.15,0.12,0.11,,,,,,,,,,,,
Niger,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.13,0.11,0.11,0.11,0.09,0.09,0.09,0.11,0.11,0.11,0.13,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Nigeria,,,,,,,,,,,,,0.06,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.08,0.08,0.1,0.1,0.1,0.13,0.13,0.19,0.19,0.16,0.18,0.26,0.14,0.14,0.14,0.14,0.14,0.18,0.14,0.21,0.17,0.15,0.15,0.13,0.1
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,0.33,0.15,0.09,0.09,0.09,0.09,0.08,0.11,0.11,0.07,0.07,0.07,0.07
Norway,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.07,0.09,0.09,0.09,0.09,0.1,0.1,0.11,0.15,0.14,0.12,0.11,0.11,0.1,0.11,0.07,0.07,0.07,0.06,0.06,0.1,0.08,0.09,0.09,0.09,0.04,0.04,0.04,0.06
Pakistan,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.17,0.2,0.18,0.17,0.13,0.13,0.1,0.08,0.08,0.08,0.09,0.1
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.1,0.11,0.09,0.11,0.1,0.09,0.09,0.07,0.06,0.07,0.18,0.15,0.09,0.17,0.17,0.1,0.12,0.12,0.16,0.13,0.1,0.08
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.21,0.33,0.2,0.24,0.27,0.19,0.21,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Peru,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.13,0.15,0.29,0.3,0.3,0.45,0.45,0.6,0.6,0.43,0.36,0.3,7.48,8.66,2.9,0.68,0.48,0.29,0.16,0.18,0.18,0.16,0.19,0.18,0.14,0.05,0.05,0.03,0.04,0.04,0.05
Philippines,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.07,0.05,0.03,0.06,0.06,0.06,0.06,0.05,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.06,0.04,0.11,0.05,0.07,0.06,0.08,0.12,0.13,0.1,0.1,0.1,0.12,0.14,0.14,0.14,0.09,0.08,0.11,0.12,0.15,0.12,0.08,0.14,0.08,0.04,0.06,0.08,0.06,0.05
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04,0.04,0.04,0.04,0.06,1.04,0.48,0.36,0.32,0.29,0.28,0.25,0.22,0.25,0.18,0.19,0.22,0.14,0.08,0.06,0.07,0.05,0.04
Portugal,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.08,0.07,0.07,0.13,0.18,0.18,0.18,0.18,0.19,0.25,0.25,0.19,0.16,0.15,0.14,0.15,0.15,0.2,0.22,0.11,0.09,0.09,0.07,0.05,0.03,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.03,0.05,0.06
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.48,0.28,0.6,0.55,0.25,0.25,0.21,0.16,0.13,0.12,0.11
Rwanda,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.14,0.14,0.11,0.11,0.11,0.16,0.16,0.11,0.11,0.11,0.12,0.13,0.13,0.15,0.15,0.13,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.45,0.45,0.3,0.32,0.5,0.35,0.55,0.3,0.17,0.17,0.16,0.16,0.15,0.15,0.18,0.28
Senegal,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.13,0.11,0.11,0.11,0.09,0.09,0.1,0.11,0.11,0.11,0.13,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.1,0.11,0.17,0.19,0.15
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.11,0.11,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Sierra Leone,,,,,,,,,,,,,,,,,,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.1,0.12,0.12,0.12,0.14,0.14,0.14,0.16,0.16,0.16,0.16,0.55,0.55,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.06,0.04,0.03,0.05
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.19,0.17,0.11,0.11,0.11,0.11,0.09,0.11,0.12,0.11,0.07,0.05,0.05,0.05
South Africa,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.02,0.02,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.04,0.06,0.07,0.08,0.08,0.08,0.05,0.07,0.15,0.14,0.18,0.21,0.13,0.1,0.1,0.15,0.18,0.18,0.17,0.14,0.12,0.13,0.15,0.17,0.16,0.19,0.12,0.12,0.1,0.14,0.08,0.08,0.07,0.09
South Korea,0.04,0.04,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.1,0.1,0.1,0.1,0.11,0.28,0.28,0.28,0.23,0.22,0.19,0.16,0.11,0.11,0.11,0.14,0.14,0.14,0.15,0.15,0.16,0.11,0.05,0.05,0.05,0.05,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03
Spain,,,,,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.05,0.05,0.06,0.07,0.07,0.07,0.08,0.09,0.08,0.11,0.11,0.18,0.21,0.13,0.11,0.12,0.14,0.12,0.15,0.15,0.13,0.13,0.09,0.07,0.09,0.06,0.05,0.03,,,,,,,,
Sri Lanka,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.1,0.1,0.1,0.12,0.14,0.14,0.13,0.13,0.11,0.11,0.1,0.1,0.14,0.15,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.25,,0.18,0.15,0.15,0.15,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
Sweden,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.06,0.06,0.06,0.05,0.07,0.07,0.05,0.05,0.05,0.07,0.06,0.08,0.08,0.07,0.09,0.1,0.11,0.1,0.09,0.1,0.11,0.08,0.08,0.09,0.11,0.12,0.08,0.1,0.05,0.07,0.07,0.04,0.03,0.02,0.02,0.02,0.02,0.05,0.03,0.02,0.02,0.03
Switzerland,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.03,0.02,0.02,0.01,0.02,0.03,0.06,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.06,0.06,0.07,0.06,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0,0.01,0.01,0.02
Syria,,,,,,,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.36,0.2,0.21,0.2,0.25,0.15,0.1,0.09,0.12
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.08,0.13,0.15,0.16,,,0.15,0.15,0.68,0.48,0.19,0.16,0.18,0.2,0.11,0.09,0.09,0.12,0.14,0.19,0.2
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.09,0.13,0.13,0.14,0.15,0.13,0.13,0.12,0.11,0.08,0.08,0.08,0.08,0.12,0.11,0.11,0.09,0.1,0.11,0.11,0.13,0.13,0.04,0.04,0.04,0.03,0.03,0.04,0.06,0.07
Togo,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.13,0.11,0.11,0.11,0.09,0.09,0.1,0.11,0.11,0.11,0.13,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.08,0.06,0.08,0.1,0.1,0.1,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.07,0.07,0.07,0.08,0.1
Tunisia,,,,,,,,,,,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.11,0.12,0.12,0.11,0.09,0.09,0.09,0.08,,,,,,,,,,
Turkey,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.05,0.06,0.06,0.06,0.06,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.11,0.26,0.32,0.32,0.49,0.52,0.52,0.48,0.45,0.54,0.54,0.45,0.48,0.48,0.48,0.55,0.5,0.5,0.67,0.67,0.6,0.6,0.6,0.55,0.43,0.38,0.23,0.27
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.1,0.11,0.16,0.24,0.24,0.36,0.31,0.45,0.55,0.5,0.46,0.41,0.24,0.15,0.13,0.16,0.14,0.09,0.16,0.19,0.09,0.13,0.26,0.16,0.14,0.16
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,2.4,2.52,1.1,0.4,0.35,0.6,0.45,0.27,0.13,0.07,0.07,0.09,0.1,0.09
United Kingdom,0.02,0.02,0.02,0.03,0.04,0.04,0.03,0.05,0.06,0.07,0.04,0.04,0.05,0.06,0.05,0.04,0.07,0.06,0.07,0.08,0.07,0.08,0.07,0.05,0.09,0.13,0.12,0.11,0.14,0.07,0.13,0.17,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.08,0.08,0.06,0.05,0.06,0.1,0.12,0.13,0.12,0.09,0.09,0.08,0.08,0.06,0.06,0.07,0.07,0.07,0.04,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.01,0.01,0.02,0.03,0.05,0.06
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.84,1.13,1.33,1.45,1.38,1.43,1.55,2.2,2.52,2.19,1.62,1.64,1.82,1.79,1.6,0.96,0.74,0.66,0.57,0.72,3.16,0.46,0.1,0.1,0.1
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06
Venezuela,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.08,0.11,0.13,0.14,0.13,0.11,0.11,0.08,0.08,0.08,0.08,0.45,0.43,0.43,0.52,0.71,0.48,0.49,0.45,0.45,0.6,0.38,0.38,0.37,0.4,0.29,0.29,0.29,0.29
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.11,0.12,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.29,0.15,0.2,0.19,0.16,0.15,0.13,,,,
Zambia,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.1,0.15,0.25,0.3,0.15,0.15,,,,0.47,0.73,0.21,0.4,0.47,0.18,,0.33,0.26,0.4,0.28,0.14,0.17,0.15,0.09
Zimbabwe,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.2,0.3,0.29,0.3,0.3,0.27,0.32,0.4,0.74,0.58,0.57,0.3,3,1.1,5.4,5
